voteresult,SCIij,leave rate,GDHIperhead_pounds_2016,rate_60,No Qualifications,Other Qualifications,Below NQF Level 2,NQF Level 2,Trade Apprenticeships,NQF Level 3,NQF Level 4 and above,(16-64)unemployment rate,(16-64)Economic inactivity rate,Claimant Count rate,job density(16-62) ratio
1,337,0.5322,17575,0.263402518,0.045,0.053,0.117,0.169,0.04,0.162,0.415,3.56,18.92,2.75,0.88
0,358,0.4518,16430,0.213848929,0.027,0.041,0.07,0.154,0.014,0.157,0.537,2.95,23.32,2.3,0.89
1,427,0.5757,17148,0.268376302,0.057,0.079,0.091,0.19,0.047,0.199,0.336,2.76,22.53,2.53,0.87
1,262,0.5374,16644,0.352193472,0.056,0.074,0.102,0.19,0.053,0.174,0.351,4.57,20.13,1.03,0.91
0,463,0.4237,20780,0.239970467,0.057,0.083,0.098,0.112,0.049,0.128,0.473,4.65,20.6,1.66,0.98
0,263,0.4405,18462,0.311428992,0.045,0.087,0.081,0.151,0.046,0.141,0.448,4.1,24.75,2.92,0.8
0,322,0.4987,18120,0.286440753,0.055,0.073,0.091,0.157,0.055,0.145,0.424,1.95,19.17,2.22,0.91
0,361,0.3943,17723,0.333182413,0.053,0.076,0.089,0.154,0.046,0.153,0.429,2.57,20.47,2.09,0.99
0,190,0.4476,16588,0.335436857,0.044,0.049,0.088,0.145,0.101,0.121,0.452,3.74,15.76,1.73,0.87
0,192,0.3684,18035,0.31454872,0.084,0.074,0.118,0.134,0.053,0.19,0.346,1,13.71,0.87,1.02
0,298,0.4349,20264,0.271947022,0.019,0.091,0.093,0.136,0.121,0.16,0.38,1,24.83,1,1.1
0,385,0.4235,16995,0.266493891,0.068,0.044,0.095,0.134,0.06,0.137,0.462,4.98,24.33,3.77,0.76
0,293,0.4151,17316,0.274045296,0.048,0.05,0.104,0.108,0.075,0.15,0.466,6.12,23.64,3.67,0.64
0,288,0.3654,19859,0.262179759,0.071,0.042,0.098,0.133,0.07,0.152,0.433,2.97,21.42,2.68,0.58
0,719,0.4153,21619,0.202621936,0.064,0.088,0.083,0.128,0.054,0.157,0.425,3.97,22.81,1.31,1.06
0,253,0.2556,16745,0.25370561,0.021,0.06,0.062,0.086,0.036,0.118,0.617,4.92,20.97,2.88,0.71
0,480,0.4324,19873,0.287317289,0.076,0.065,0.106,0.13,0.061,0.122,0.44,4.04,21.37,1.82,0.9
0,366,0.3642,17126,0.22689423,0.039,0.075,0.077,0.136,0.044,0.149,0.481,3.13,22.9,2.18,0.73
0,191,0.4175,18989,0.285087916,0.077,0.08,0.094,0.149,0.061,0.131,0.408,3.3,23.39,2.53,0.59
0,434,0.3245,15914,0.188143687,0.083,0.061,0.078,0.12,0.048,0.142,0.468,4.59,26.97,3.13,1.03
0,233,0.4694,18596,0.266054005,0.059,0.074,0.091,0.16,0.089,0.169,0.359,4.56,22.42,2.92,0.67
0,228,0.4233,16234,0.237272337,0.082,0.051,0.07,0.155,0.061,0.128,0.454,5.92,25.29,3.37,0.67
0,287,0.3341,19285,0.326236406,0.067,0.064,0.064,0.112,0.035,0.121,0.536,0.97,20.04,1.95,0.81
0,202,0.3261,17651,0.336913411,0.071,0.052,0.071,0.154,0.05,0.16,0.442,5.76,27.6,2.3,0.86
0,149,0.3834,16038,0.286003846,0.119,0.08,0.097,0.168,0.044,0.105,0.385,4.59,26.54,5.09,0.59
0,180,0.4104,18647,0.332633881,0.103,0.057,0.069,0.166,0.036,0.15,0.42,4.91,24.09,3.42,0.82
0,199,0.3692,17556,0.266435166,0.076,0.049,0.1,0.148,0.049,0.165,0.413,3.42,20.09,3.29,0.66
